# star HD number, 84117
# Instrument codes:
#  p, Hamilton Spectrograph dewar 16
#  l, Hamilton Spectrograph all other dewars
#  k, pre-upgrade Keck HIRES (on or before August 19 2004)
#  j, post-upgrade Keck HIRES (after August 19 2004)
hjd-2440000,rv,rv_err,inst
13339.062211,3.61004769057,1.4270177,j
13340.119375,4.11736750853,1.3410133,j
13397.93294,-3.54386014015,1.5084541,j
13480.755799,-10.4582108334,1.5170773,j
13746.9597342,-6.37681896846,0.7729958,j
14084.0917751,0.250613534947,0.8247356,j
14139.0145928,3.48409241336,0.9968388,j
14246.7867598,-3.42520718052,1.0446324,j
14248.7958597,-1.96417838083,1.0363137,j
14250.790567,-3.76811735135,1.8434824,j
14251.793935,-1.30533126376,1.6765659,j
14255.732387,0.440858164174,0.8466589,j
14810.166042,2.6185016668,1.6691234,j
14865.077703,0.226419672448,1.9051913,j
14867.972355,1.97640648037,2.1275668,j
14929.808828,-3.40829301886,2.0377815,j
14963.839992,-10.8665929097,1.668855,j
14983.771516,3.25946622458,1.6970863,j
14985.771368,-5.39958177313,1.7628207,j
14987.760353,-3.7268589409,1.7820231,j
15135.154183,-4.23407875156,1.5596273,j
15194.1847748,-0.786466862651,0.3463708,j
15311.822115,-1.05216200555,1.8376441,j
15312.785684,0.080257753389,1.5933729,j
15313.82125,-4.87723089901,1.7696216,j
15314.753986,-7.14421958401,1.758122,j
15319.766767,-5.17173346174,1.8452191,j
15320.778869,-3.87766343281,1.6255995,j
15321.765059,-4.40225933252,1.5827818,j
15342.7833499,3.66012203132,0.9377912,j
15343.7554638,1.38858878912,0.9415132,j
15344.7589645,-4.26683494386,0.9575963,j
15557.037154,2.01578632497,1.701992,j
15559.0758844,-5.35719305315,1.2696058,j
15871.114904,-8.71467404763,2.0527761,j
15880.164456,1.53537667148,1.7848374,j
15903.171805,0.535997164929,1.7106752,j
15996.927486,-9.43084214462,2.2551637,j
16075.733117,1.91700887431,1.6528738,j
16076.733627,2.33849167607,1.7033061,j
16318.928736,-6.92290500694,1.8463368,j
16638.055597,-0.424222493411,1.702728,j
16641.181692,-3.92533773337,1.6156994,j
16709.94578,3.46892619893,1.9457189,j

